S.N,Country,Line,Port,Equipment_Type,Currency,Free_days,Bucket 1 (6-10),Bucket 2 (11-15),Bucket 3 (16-9999),Local_Charges
1,Malaysia,ESL,"Bintulu, Malaysia (Mybtu) (Mybtu)",20-Dry,MYR,7,,,,
2,Malaysia,ESL,"Bintulu, Malaysia (Mybtu) (Mybtu)",40-Dry,MYR,7,,,,
3,Malaysia,ESL,"Bintulu, Malaysia (Mybtu) (Mybtu)",40-High Cube Reefer,MYR,3,,,,
4,Malaysia,ESL,"Bintulu, Malaysia (Mybtu) (Mybtu)",20-Flat Rack,MYR,3,,,,
5,Malaysia,ESL,"Bintulu, Malaysia (Mybtu) (Mybtu)",40-Flat Rack,MYR,3,,,,
6,Malaysia,ESL,"Bintulu, Malaysia (Mybtu) (Mybtu)",20-Open Top,MYR,3,,,,
7,Malaysia,ESL,"Bintulu, Malaysia (Mybtu) (Mybtu)",40-Open Top,MYR,3,,,,
8,Malaysia,ESL,"Bintulu, Malaysia (Mybtu) (Mybtu)",40-Super Rack,MYR,3,,,,
