S.N,Country,Line,Port,Equipment_Type,Currency,Free_days,Bucket 1 (6-10),Bucket 2 (11-15),Bucket 3 (16-9999),Local_Charges
1,Indonesia,ESL,"Jakarta, Indonesia (Idjkt) (Idjkt)",20-Dry,USD,7,,,60,
2,Indonesia,ESL,"Jakarta, Indonesia (Idjkt) (Idjkt)",40-Dry,USD,7,,,85,
3,Indonesia,ESL,"Jakarta, Indonesia (Idjkt) (Idjkt)",40-High Cube Reefer,USD,5,100,,150,
4,Indonesia,ESL,"Jakarta, Indonesia (Idjkt) (Idjkt)",20-Flat Rack,USD,5,60,,80,
5,Indonesia,ESL,"Jakarta, Indonesia (Idjkt) (Idjkt)",40-Flat Rack,USD,5,110,,150,
6,Indonesia,ESL,"Jakarta, Indonesia (Idjkt) (Idjkt)",20-Open Top,USD,5,60,,80,
7,Indonesia,ESL,"Jakarta, Indonesia (Idjkt) (Idjkt)",40-Open Top,USD,5,110,,150,
8,Indonesia,ESL,"Jakarta, Indonesia (Idjkt) (Idjkt)",40-Super Rack,USD,5,110,,150,
