S.N,Country,Line,Port,Equipment_Type,Currency,Free_days,Bucket 1 (6-10),Bucket 2 (11-15),Bucket 3 (16-9999),Local_Charges
1,China,ESL,"Quanzhou, China (Cnqzj) (Cnqzj)",20-Dry,CNY,7,100,200,400,
2,China,ESL,"Quanzhou, China (Cnqzj) (Cnqzj)",40-Dry,CNY,7,200,400,800,
3,China,ESL,"Quanzhou, China (Cnqzj) (Cnqzj)",40-High Cube Reefer,CNY,7,450,720,1200,
4,China,ESL,"Quanzhou, China (Cnqzj) (Cnqzj)",20-Flat Rack,CNY,7,225,360,600,
5,China,ESL,"Quanzhou, China (Cnqzj) (Cnqzj)",40-Flat Rack,CNY,7,450,720,1200,
6,China,ESL,"Quanzhou, China (Cnqzj) (Cnqzj)",20-Open Top,CNY,7,225,360,600,
7,China,ESL,"Quanzhou, China (Cnqzj) (Cnqzj)",40-Open Top,CNY,7,450,720,1200,
8,China,ESL,"Quanzhou, China (Cnqzj) (Cnqzj)",40-Super Rack,CNY,7,450,720,1200,
