S.N,Country,Line,Port,Equipment_Type,Currency,Free_days,Bucket 1 (6-10),Bucket 2 (11-15),Bucket 3 (16-9999),Local_Charges
1,China,ESL,"Zhenjiang, China (Cnzhe) (Cnzhe)",20-Dry,CNY,7,,,100,
2,China,ESL,"Zhenjiang, China (Cnzhe) (Cnzhe)",40-Dry,CNY,7,,,200,
3,China,ESL,"Zhenjiang, China (Cnzhe) (Cnzhe)",40-High Cube Reefer,CNY,7,,450,720,
4,China,ESL,"Zhenjiang, China (Cnzhe) (Cnzhe)",20-Flat Rack,CNY,7,,225,360,
5,China,ESL,"Zhenjiang, China (Cnzhe) (Cnzhe)",40-Flat Rack,CNY,7,,450,720,
6,China,ESL,"Zhenjiang, China (Cnzhe) (Cnzhe)",20-Open Top,CNY,7,,225,360,
7,China,ESL,"Zhenjiang, China (Cnzhe) (Cnzhe)",40-Open Top,CNY,7,,450,720,
8,China,ESL,"Zhenjiang, China (Cnzhe) (Cnzhe)",40-Super Rack,CNY,7,,450,720,
