S.N,Country,Line,Port,Equipment_Type,Currency,Free_days,Bucket 1 (6-10),Bucket 2 (11-15),Bucket 3 (16-9999),Local_Charges
1,India,ESL,"Icd Patli, India (Inpli) (Inpli)",20-Dry,USD,5,24,44,64,
2,India,ESL,"Icd Patli, India (Inpli) (Inpli)",40-Dry,USD,5,48,88,128,
3,India,ESL,"Icd Patli, India (Inpli) (Inpli)",40-High Cube Reefer,USD,3,128,168,208,
4,India,ESL,"Icd Patli, India (Inpli) (Inpli)",20-Flat Rack,USD,5,44,64,84,
5,India,ESL,"Icd Patli, India (Inpli) (Inpli)",40-Flat Rack,USD,5,84,128,168,
6,India,ESL,"Icd Patli, India (Inpli) (Inpli)",20-Open Top,USD,5,44,64,84,
7,India,ESL,"Icd Patli, India (Inpli) (Inpli)",40-Open Top,USD,5,84,128,168,
8,India,ESL,"Icd Patli, India (Inpli) (Inpli)",40-Super Rack,USD,5,84,128,168,
