S.N,Country,Line,Port,Equipment_Type,Currency,Free_days,Bucket 1 (6-10),Bucket 2 (11-15),Bucket 3 (16-9999),Local_Charges
1,Turkey,ESL,"Mersin, Turkey (Trmer) (Trmer)",20-Dry,USD,7,,,80,
2,Turkey,ESL,"Mersin, Turkey (Trmer) (Trmer)",40-Dry,USD,7,,,115,
3,Turkey,ESL,"Mersin, Turkey (Trmer) (Trmer)",40-Reefer,USD,3,120,,200,
4,Turkey,ESL,"Mersin, Turkey (Trmer) (Trmer)",20-SP,USD,7,,,115,
5,Turkey,ESL,"Mersin, Turkey (Trmer) (Trmer)",40-SP,USD,7,,,160,
6,Turkey,ESL,"Mersin, Turkey (Trmer) (Trmer)",20-SP,USD,7,,,115,
7,Turkey,ESL,"Mersin, Turkey (Trmer) (Trmer)",40-SP,USD,7,,,160,
8,Turkey,ESL,"Mersin, Turkey (Trmer) (Trmer)",40-SP,USD,7,,,160,
