S.N,Country,Line,Port,Equipment_Type,Currency,Free_days,Bucket 1 (6-10),Bucket 2 (11-15),Bucket 3 (16-9999),Local_Charges
1,Turkey,ESL,"Ambarli Kumport, Turkey (Trist) (Trist)",20-Dry,USD,7,,,,
2,Turkey,ESL,"Ambarli Kumport, Turkey (Trist) (Trist)",40-Dry,USD,7,,,,
3,Turkey,ESL,"Ambarli Kumport, Turkey (Trist) (Trist)",40-High Cube Reefer,USD,3,,,,
4,Turkey,ESL,"Ambarli Kumport, Turkey (Trist) (Trist)",20-Flat Rack,USD,7,,,,
5,Turkey,ESL,"Ambarli Kumport, Turkey (Trist) (Trist)",40-Flat Rack,USD,7,,,,
6,Turkey,ESL,"Ambarli Kumport, Turkey (Trist) (Trist)",20-Open Top,USD,7,,,,
7,Turkey,ESL,"Ambarli Kumport, Turkey (Trist) (Trist)",40-Open Top,USD,7,,,,
8,Turkey,ESL,"Ambarli Kumport, Turkey (Trist) (Trist)",40-Super Rack,USD,7,,,,
