S.N,Country,Line,Port,Equipment_Type,Currency,Free_days,Bucket 1 (6-10),Bucket 2 (11-15),Bucket 3 (16-9999),Local_Charges
1,Iraq,ESL,"Umm Qasr, Iraq (Iquqr) (Iquqr)",20-Dry,USD,10,N/A,N/A,48,
2,Iraq,ESL,"Umm Qasr, Iraq (Iquqr) (Iquqr)",40-Dry,USD,10,N/A,N/A,96,
3,Iraq,ESL,"Umm Qasr, Iraq (Iquqr) (Iquqr)",40-Reefer,USD,5,112,224,448,
4,Iraq,ESL,"Umm Qasr, Iraq (Iquqr) (Iquqr)",20-Flat Rack,USD,10,N/A,N/A,100,
5,Iraq,ESL,"Umm Qasr, Iraq (Iquqr) (Iquqr)",40-Flat Rack,USD,10,N/A,N/A,200,
6,Iraq,ESL,"Umm Qasr, Iraq (Iquqr) (Iquqr)",20-Open Top,USD,10,N/A,N/A,100,
7,Iraq,ESL,"Umm Qasr, Iraq (Iquqr) (Iquqr)",40-Open Top,USD,10,N/A,N/A,200,
8,Iraq,ESL,"Umm Qasr, Iraq (Iquqr) (Iquqr)",40-Super Rack,USD,10,N/A,N/A,200,
