S.N,Country,Line,Port,Equipment_Type,Currency,Free_days,Bucket 1 (6-10),Bucket 2 (11-15),Bucket 3 (16-9999),Local_Charges
1,Indonesia,ESL,"Surabaya, Indonesia (Idsub) (Idsub)",20-Dry,USD,7,N/A,N/A,N/A,
2,Indonesia,ESL,"Surabaya, Indonesia (Idsub) (Idsub)",40-Dry,USD,7,N/A,N/A,N/A,
3,Indonesia,ESL,"Surabaya, Indonesia (Idsub) (Idsub)",40-High Cube Reefer,USD,5,100,N/A,150,
4,Indonesia,ESL,"Surabaya, Indonesia (Idsub) (Idsub)",20-Flat Rack,USD,5,60,N/A,80,
5,Indonesia,ESL,"Surabaya, Indonesia (Idsub) (Idsub)",40-Flat Rack,USD,5,110,N/A,150,
6,Indonesia,ESL,"Surabaya, Indonesia (Idsub) (Idsub)",20-Open Top,USD,5,60,N/A,80,
7,Indonesia,ESL,"Surabaya, Indonesia (Idsub) (Idsub)",40-Open Top,USD,5,110,N/A,150,
8,Indonesia,ESL,"Surabaya, Indonesia (Idsub) (Idsub)",40-Super Rack,USD,5,110,N/A,150,
