S.N,Country,Line,Port,Equipment_Type,Currency,Free_days,Bucket 1 (6-10),Bucket 2 (11-15),Bucket 3 (16-9999),Local_Charges
1,Indonesia,ESL,"Belawan, Indonesia (Idblw) (Idblw)",20-Dry,USD,7,40,,60,
2,Indonesia,ESL,"Belawan, Indonesia (Idblw) (Idblw)",40-Dry,USD,7,60,,85,
3,Indonesia,ESL,"Belawan, Indonesia (Idblw) (Idblw)",40-High Cube Reefer,USD,5,100,,150,
4,Indonesia,ESL,"Belawan, Indonesia (Idblw) (Idblw)",20-Flat Rack,USD,5,60,,80,
5,Indonesia,ESL,"Belawan, Indonesia (Idblw) (Idblw)",40-Flat Rack,USD,5,110,,150,
6,Indonesia,ESL,"Belawan, Indonesia (Idblw) (Idblw)",20-Open Top,USD,5,60,,80,
7,Indonesia,ESL,"Belawan, Indonesia (Idblw) (Idblw)",40-Open Top,USD,5,110,,150,
8,Indonesia,ESL,"Belawan, Indonesia (Idblw) (Idblw)",40-Super Rack,USD,5,110,,150,
