S.N,Country,Line,Port,Equipment_Type,Currency,Free_days,Bucket 1 (6-10),Bucket 2 (11-15),Bucket 3 (16-9999),Local_Charges
1,Malaysia,ESL,"Pasir Gudang, Malaysia (Mypgu) (Mypgu)",20-Dry,MYR,7,78,95,125,
2,Malaysia,ESL,"Pasir Gudang, Malaysia (Mypgu) (Mypgu)",40-Dry,MYR,7,130,160,210,
3,Malaysia,ESL,"Pasir Gudang, Malaysia (Mypgu) (Mypgu)",40-High Cube Reefer,MYR,3,300,500,,
4,Malaysia,ESL,"Pasir Gudang, Malaysia (Mypgu) (Mypgu)",20-Flat Rack,MYR,3,150,280,,
5,Malaysia,ESL,"Pasir Gudang, Malaysia (Mypgu) (Mypgu)",40-Flat Rack,MYR,3,300,500,,
6,Malaysia,ESL,"Pasir Gudang, Malaysia (Mypgu) (Mypgu)",20-Open Top,MYR,3,150,280,,
7,Malaysia,ESL,"Pasir Gudang, Malaysia (Mypgu) (Mypgu)",40-Open Top,MYR,3,300,500,,
8,Malaysia,ESL,"Pasir Gudang, Malaysia (Mypgu) (Mypgu)",40-Super Rack,MYR,3,300,500,,
