S.N,Country,Line,Port,Equipment_Type,Currency,Free_days,Bucket 1 (6-10),Bucket 2 (11-15),Bucket 3 (16-9999),Local_Charges
1,Somalia,ESL,"Mogadishu, Somalia (Somgq) (Somgq)",20-Dry,USD,14,N/A,N/A,N/A,
2,Somalia,ESL,"Mogadishu, Somalia (Somgq) (Somgq)",40-Dry,USD,14,N/A,N/A,N/A,
3,Somalia,ESL,"Mogadishu, Somalia (Somgq) (Somgq)",40-High Cube Reefer,USD,3,85,N/A,105,
4,Somalia,ESL,"Mogadishu, Somalia (Somgq) (Somgq)",20-Flat Rack,USD,10,N/A,55,105,
5,Somalia,ESL,"Mogadishu, Somalia (Somgq) (Somgq)",40-Flat Rack,USD,10,N/A,55,105,
6,Somalia,ESL,"Mogadishu, Somalia (Somgq) (Somgq)",20-Open Top,USD,10,N/A,55,105,
7,Somalia,ESL,"Mogadishu, Somalia (Somgq) (Somgq)",40-Open Top,USD,10,N/A,55,105,
8,Somalia,ESL,"Mogadishu, Somalia (Somgq) (Somgq)",40-Super Rack,USD,10,N/A,55,105,
