S.N,Country,Line,Port,Equipment_Type,Currency,Free_days,Bucket 1 (6-10),Bucket 2 (11-15),Bucket 3 (16-9999),Local_Charges
1,South Korea,ESL,"Kwangyang, South Korea (Krkan) (Krkan)",20-Dry,USD,7,,,11,
2,South Korea,ESL,"Kwangyang, South Korea (Krkan) (Krkan)",40-Dry,USD,7,,,18,
3,South Korea,ESL,"Kwangyang, South Korea (Krkan) (Krkan)",40-High Cube Reefer,USD,3,,,70,
4,South Korea,ESL,"Kwangyang, South Korea (Krkan) (Krkan)",20-Flat Rack,USD,7,,,20,
5,South Korea,ESL,"Kwangyang, South Korea (Krkan) (Krkan)",40-Flat Rack,USD,7,,,38,
6,South Korea,ESL,"Kwangyang, South Korea (Krkan) (Krkan)",20-Open Top,USD,7,,,20,
7,South Korea,ESL,"Kwangyang, South Korea (Krkan) (Krkan)",40-Open Top,USD,7,,,38,
8,South Korea,ESL,"Kwangyang, South Korea (Krkan) (Krkan)",40-Super Rack,USD,7,,,38,
