S.N,Country,Line,Port,Equipment_Type,Currency,Free_days,Bucket 1 (6-10),Bucket 2 (11-15),Bucket 3 (16-9999),Local_Charges
1,China,ESL,"Rongqi, China (Cnroq) (Cnroq)",20-Dry,CNY,7,150,150,300,
2,China,ESL,"Rongqi, China (Cnroq) (Cnroq)",40-Dry,CNY,7,300,300,600,
3,China,ESL,"Rongqi, China (Cnroq) (Cnroq)",40-High Cube Reefer,CNY,7,450,450,900,
4,China,ESL,"Rongqi, China (Cnroq) (Cnroq)",20-Flat Rack,CNY,7,225,225,450,
5,China,ESL,"Rongqi, China (Cnroq) (Cnroq)",40-Flat Rack,CNY,7,450,450,900,
6,China,ESL,"Rongqi, China (Cnroq) (Cnroq)",20-Open Top,CNY,7,225,225,450,
7,China,ESL,"Rongqi, China (Cnroq) (Cnroq)",40-Open Top,CNY,7,450,450,900,
8,China,ESL,"Rongqi, China (Cnroq) (Cnroq)",40-Super Rack,CNY,7,450,450,900,
