S.N,Country,Line,Port,Equipment_Type,Currency,Free_days,Bucket 1 (6-10),Bucket 2 (11-15),Bucket 3 (16-9999),Local_Charges
1,Tanzania,ESL,Fumba (Zanzibar) (Tzfma) (Tzfma),20-Dry,USD,14,N/A,N/A,10,
2,Tanzania,ESL,Fumba (Zanzibar) (Tzfma) (Tzfma),40-Dry,USD,14,N/A,N/A,20,
3,Tanzania,ESL,Fumba (Zanzibar) (Tzfma) (Tzfma),20-Flat Rack,USD,14,N/A,N/A,10,
4,Tanzania,ESL,Fumba (Zanzibar) (Tzfma) (Tzfma),40-Flat Rack,USD,14,N/A,N/A,20,
5,Tanzania,ESL,Fumba (Zanzibar) (Tzfma) (Tzfma),20-Open Top,USD,14,N/A,N/A,10,
6,Tanzania,ESL,Fumba (Zanzibar) (Tzfma) (Tzfma),40-Open Top,USD,14,N/A,N/A,20,
7,Tanzania,ESL,Fumba (Zanzibar) (Tzfma) (Tzfma),40-Super Rack,USD,14,N/A,N/A,20,
