S.N,Country,Line,Port,Equipment_Type,Currency,Free_days,Bucket 1 (6-10),Bucket 2 (11-15),Bucket 3 (16-9999),Local_Charges
1,"Taiwan, China",ESL,"Kaohsiung, Taiwan (Twkhh) (Twkhh)",20-Dry,TWD,3,450,,850,
2,"Taiwan, China",ESL,"Kaohsiung, Taiwan (Twkhh) (Twkhh)",40-Dry,TWD,3,900,,1700,
3,"Taiwan, China",ESL,"Kaohsiung, Taiwan (Twkhh) (Twkhh)",40-High Cube Reefer,TWD,3,1640,,3600,
4,"Taiwan, China",ESL,"Kaohsiung, Taiwan (Twkhh) (Twkhh)",20-Flat Rack,TWD,3,1050,,2050,
5,"Taiwan, China",ESL,"Kaohsiung, Taiwan (Twkhh) (Twkhh)",40-Flat Rack,TWD,3,1600,,3100,
6,"Taiwan, China",ESL,"Kaohsiung, Taiwan (Twkhh) (Twkhh)",20-Open Top,TWD,3,1050,,2050,
7,"Taiwan, China",ESL,"Kaohsiung, Taiwan (Twkhh) (Twkhh)",40-Open Top,TWD,3,1600,,3100,
