S.N,Country,Line,Port,Equipment_Type,Currency,Free_days,Bucket 1 (6-10),Bucket 2 (11-15),Bucket 3 (16-9999),Local_Charges
1,Sultanate Of Oman,ESL,"Sohar, Oman (Omsoh) (Omsoh)",20-Dry,OMR,6,8,8,15,
2,Sultanate Of Oman,ESL,"Sohar, Oman (Omsoh) (Omsoh)",40-Dry,OMR,6,13,13,25,
3,Sultanate Of Oman,ESL,"Sohar, Oman (Omsoh) (Omsoh)",40-Reefer,OMR,3,30,30,70,
4,Sultanate Of Oman,ESL,"Sohar, Oman (Omsoh) (Omsoh)",20-Flat Rack,OMR,6,15,15,45,
5,Sultanate Of Oman,ESL,"Sohar, Oman (Omsoh) (Omsoh)",40-Flat Rack,OMR,6,30,30,70,
6,Sultanate Of Oman,ESL,"Sohar, Oman (Omsoh) (Omsoh)",20-Open Top,OMR,6,15,15,45,
7,Sultanate Of Oman,ESL,"Sohar, Oman (Omsoh) (Omsoh)",40-Open Top,OMR,6,30,30,70,
8,Sultanate Of Oman,ESL,"Sohar, Oman (Omsoh) (Omsoh)",40-Super Rack,OMR,6,30,30,70,
